"","EorP","CapShape","CapSurf","CapColor","Bruises","Odor","GillAtt","GillSpace","GillSize","GillColor","StalkShape","StalkRoot","SsurfAbove","SsurfBelow","ScolorAbove","ScolorBelow","VeilType","VeilColor","RingNum","RingType","Spore","Pop","Habitat"
"1","p","x","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","u"
"2","e","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","g"
"3","e","b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","m"
"4","p","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","s","u"
"5","e","x","s","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","g"
"6","e","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","g"
"7","e","b","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","m"
"8","e","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","m"
"9","p","x","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","g"
"10","e","b","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","m"
"11","e","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","g"
"12","e","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","m"
"13","e","b","s","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","g"
"14","p","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","u"
"15","e","x","f","n","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","a","g"
"16","e","s","f","g","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","y","u"
"17","e","f","f","w","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","g"
"18","p","x","s","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","s","g"
"19","p","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","s","u"
"20","p","x","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","u"
"21","e","b","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","m"
"22","p","x","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","g"
"23","e","b","y","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","m"
"24","e","b","y","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","m"
"25","e","b","s","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","m"
"26","p","f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","g"
"27","e","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","m"
"28","e","x","y","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","m"
"29","e","f","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","y","u"
"30","e","x","s","y","t","a","f","w","n","n","t","b","s","s","w","w","p","w","o","p","n","v","d"
"31","e","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","m"
"32","p","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","u"
"33","e","x","y","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","m"
"34","e","x","y","n","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","y","p"
"35","e","b","y","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","m"
"36","e","x","f","y","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","d"
"37","e","s","f","g","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","u"
"38","p","x","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","s","u"
"39","e","x","f","y","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","d"
"40","e","b","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","m"
"41","e","b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","g"
"42","e","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","p"
"43","e","x","f","n","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","k","y","u"
"44","p","x","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","g"
"45","e","x","s","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","m"
"46","e","x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","g"
"47","e","x","y","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","m"
"48","e","x","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","m"
"49","e","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","s","p"
